feature,importance
country of birth self_Jamaica,0.035172542280419376
class of worker_Never worked,0.0350257631937602
reason for unemployment_New entrant,0.0350257631937602
country of birth father_Greece,0.03484411363485725
state of previous residence_South Dakota,0.03450646074986966
detailed household and family stat_In group quarters,0.03409564412319972
country of birth father_Honduras,0.03387531277498789
weeks worked in year,0.033845471822467964
country of birth mother_Jamaica,0.033783060833365956
country of birth self_Poland,0.03347856099308211
country of birth self_Laos,0.03342108240970059
country of birth mother_Ecuador,0.03340443202664383
tax filer stat_Joint one under 65 & one 65+,0.033200617812380595
country of birth father_Laos,0.03309346948845445
country of birth self_France,0.03305652503988486
age,0.03300653701583421
detailed household and family stat_Other Rel 18+ never marr not in subfamily,0.032490768435278795
country of birth mother_Laos,0.032264483527243315
country of birth father_Ecuador,0.03206496074821551
country of birth self_Hong Kong,0.031245146678277675
detailed occupation recode_33,0.031012101661494065
country of birth mother_France,0.03099053763448895
country of birth mother_Hong Kong,0.03097846721995152
country of birth father_Haiti,0.030838926374353207
country of birth mother_Ireland,0.030679075632157157
detailed occupation recode_6,0.03055161795782205
reason for unemployment_Job leaver,0.03036483144818795
country of birth mother_Japan,0.029484940453763573
country of birth self_Germany,0.029307481124261882
country of birth self_Trinadad&Tobago,0.028477260952862488
country of birth mother_Outlying-U S (Guam USVI etc),0.0280129319528214
state of previous residence_Louisiana,0.027715171192589167
migration prev res in sunbelt_Not in universe,0.02770461868183175
detailed household and family stat_Grandchild 18+ never marr not in subfamily,0.02734560590046498
detailed occupation recode_46,0.02709194952840134
major industry code_Armed Forces,0.02709194952840134
major occupation code_Armed Forces,0.02709194952840134
detailed industry recode_51,0.02709194952840134
country of birth mother_Cambodia,0.026678669367534685
country of birth self_Dominican-Republic,0.02647444541402555
citizenship_Foreign born- U S citizen by naturalization,0.026343856443215637
detailed industry recode_4,0.025938587015894486
major industry code_Construction,0.025938587015894486
migration code-move within reg_Different state in Midwest,0.025353509051087224
country of birth father_China,0.025138576404297553
marital stat_Widowed,0.025071986737488953
country of birth self_Philippines,0.02505433797024896
migration code-change in msa_Abroad to MSA,0.024794022580652927
state of previous residence_Wyoming,0.024173514221360305
education_Some college but no degree,0.023675388809011735
